year,HASC_1,sex,nr,observed,expected,ref_rate,value,lowerCI,upperCI
2014,MD.AN,1,8,2336,1827.949313,1384.695027,1769.549933,1698.511146,1842.796484
2014,MD.BA,1,8,898,585.0829644,1384.695027,2125.264638,1988.515722,2268.940232
2014,MD.BR,1,8,2660,2384.808501,1384.695027,1544.479891,1486.338143,1604.31315
2014,MD.BT,1,8,3459,2481.41664,1384.695027,1930.211969,1866.417268,1995.631032
2014,MD.CA,1,8,2634,1700.643309,1384.695027,2144.651193,2063.522389,2228.152075
2014,MD.CH,1,8,3357,2501.529128,1384.695027,1858.231893,1795.897955,1922.17727
2014,MD.CN,1,8,1864,1195.629506,1384.695027,2158.755298,2061.855803,2259.032931
2014,MD.CR,1,8,2204,1532.170838,1384.695027,1991.858718,1909.560292,2076.791642
2014,MD.CS,1,8,1960,1332.268314,1384.695027,2037.128876,1947.931041,2129.357806
2014,MD.CU,1,8,2799,1951.403354,1384.695027,1986.140576,1913.235275,2061.112735
2014,MD.CV,1,8,16645,15315.47014,1384.695027,1504.899851,1482.123616,1527.93845
2014,MD.DB,1,8,1033,677.9012051,1384.695027,2110.027173,1983.299025,2242.729145
2014,MD.DO,1,8,1809,1372.057563,1384.695027,1825.661964,1742.491831,1911.776194
2014,MD.DR,1,8,3141,2497.197186,1384.695027,1741.683478,1681.300942,1803.680565
2014,MD.ED,1,8,2894,2458.232143,1384.695027,1630.158251,1571.301303,1690.655748
2014,MD.FA,1,8,2991,2248.196605,1384.695027,1842.197795,1776.762807,1909.426417
2014,MD.FL,1,8,3193,2229.240772,1384.695027,1983.334989,1915.131944,2053.346567
2014,MD.GA,1,8,4484,3280.647453,1384.695027,1892.605832,1837.61096,1948.82849
2014,MD.GL,1,8,2064,1524.31773,1384.695027,1874.944101,1794.920055,1957.616844
2014,MD.HI,1,8,3852,2600.155851,1384.695027,2051.355976,1987.080954,2117.18072
2014,MD.IA,1,8,2735,1986.530599,1384.695027,1906.409548,1835.624546,1979.225009
2014,MD.LE,1,8,1694,1123.448541,1384.695027,2087.922403,1989.6671,2189.774244
2014,MD.NI,1,8,2103,1384.434671,1384.695027,2103.395489,2014.448319,2195.258781
2014,MD.OC,1,8,1930,1527.397517,1384.695027,1749.682956,1672.484756,1829.525173
2014,MD.OH,1,8,4076,2487.227773,1384.695027,2269.199867,2200.065267,2339.954308
2014,MD.RS,1,8,2438,1948.854524,1384.695027,1732.241394,1664.155987,1802.397294
2014,MD.RZ,1,8,1742,1112.153426,1384.695027,2168.890265,2068.223992,2273.189196
2014,MD.SD,1,8,1577,970.8287986,1384.695027,2249.278206,2139.62126,2363.098309
2014,MD.SI,1,8,2700,2049.134095,1384.695027,1824.515332,1756.337528,1894.661644
2014,MD.SO,1,8,3250,2267.933202,1384.695027,1984.299553,1916.659196,2053.717495
2014,MD.ST,1,8,2749,1924.302538,1384.695027,1978.133144,1904.870557,2053.491817
2014,MD.SV,1,8,2257,1560.233066,1384.695027,2003.070404,1921.276122,2087.451582
2014,MD.TA,1,8,1351,964.3981532,1384.695027,1939.782833,1837.712345,2046.047056
2014,MD.TE,1,8,2358,1549.26643,1384.695027,2107.520574,2023.305525,2194.340435
2014,MD.UG,1,8,3364,2471.651517,1384.695027,1884.616031,1821.462297,1949.400674
2014,MD.AN,2,8,2094,2658.505915,1384.695027,1090.669526,1044.449981,1138.407686
2014,MD.BA,2,8,770,872.9381629,1384.695027,1221.409736,1136.650037,1310.816092
2014,MD.BR,2,8,2835,4046.861424,1384.695027,970.0382572,934.6557538,1006.417363
2014,MD.BT,2,8,3251,4311.802067,1384.695027,1044.028335,1008.445159,1080.54649
2014,MD.CA,2,8,2283,2355.575663,1384.695027,1342.032352,1287.540923,1398.237163
2014,MD.CH,2,8,2941,3762.333599,1384.695027,1082.41015,1043.640369,1122.25178
2014,MD.CN,2,8,1520,1608.941652,1384.695027,1308.149639,1243.204863,1375.606838
2014,MD.CR,2,8,1931,2249.38809,1384.695027,1188.699322,1136.265852,1242.928151
2014,MD.CS,2,8,1694,1730.236313,1384.695027,1355.695381,1291.897866,1421.82814
2014,MD.CU,2,8,2474,2878.626319,1384.695027,1190.059118,1143.622272,1237.897637
2014,MD.CV,2,8,14524,23978.62301,1384.695027,838.7183272,825.1328856,852.4713751
2014,MD.DB,2,8,831,954.7025141,1384.695027,1205.277613,1124.711753,1290.090287
2014,MD.DO,2,8,1896,2368.561285,1384.695027,1108.428897,1059.092015,1159.470922
2014,MD.DR,2,8,3077,4137.73698,1384.695027,1029.719052,993.6535666,1066.759006
2014,MD.ED,2,8,2951,4057.006522,1384.695027,1007.204451,971.1890134,1044.213875
2014,MD.FA,2,8,2814,3507.826054,1384.695027,1110.811012,1070.144263,1152.627534
2014,MD.FL,2,8,3039,3584.138619,1384.695027,1174.086338,1132.710431,1216.587272
2014,MD.GA,2,8,3902,5065.05404,1384.695027,1066.736891,1033.526037,1100.74327
2014,MD.GL,2,8,1996,2497.352935,1384.695027,1106.712326,1058.687914,1156.353632
2014,MD.HI,2,8,3312,3602.591076,1384.695027,1273.00319,1230.013948,1317.111409
2014,MD.IA,2,8,2272,2714.727626,1384.695027,1158.873941,1111.706817,1207.527796
2014,MD.LE,2,8,1461,1571.92348,1384.695027,1286.983406,1221.828588,1354.710251
2014,MD.NI,2,8,1744,1852.773849,1384.695027,1303.401454,1242.940028,1366.043424
2014,MD.OC,2,8,1974,2679.159848,1384.695027,1020.240724,975.7253451,1066.263338
2014,MD.OH,2,8,3576,3727.844277,1384.695027,1328.292989,1285.1103,1372.556823
2014,MD.RS,2,8,2437,3186.188129,1384.695027,1059.103118,1017.466824,1102.005846
2014,MD.RZ,2,8,1577,1597.985739,1384.695027,1366.510354,1299.890159,1435.659804
2014,MD.SD,2,8,1505,1493.859019,1384.695027,1395.021879,1325.424315,1467.325531
2014,MD.SI,2,8,2457,3189.258462,1384.695027,1066.767,1024.998757,1109.800423
2014,MD.SO,2,8,3090,3743.054815,1384.695027,1143.105791,1103.152547,1184.136243
2014,MD.ST,2,8,2345,2730.657074,1384.695027,1189.131316,1141.484267,1238.25626
2014,MD.SV,2,8,1990,2250.760331,1384.695027,1224.272112,1171.067192,1279.271093
2014,MD.TA,2,8,1194,1548.268001,1384.695027,1067.855088,1008.136058,1130.187848
2014,MD.TE,2,8,1956,2175.619866,1384.695027,1244.915766,1190.350729,1301.336946
2014,MD.UG,2,8,3022,3621.003877,1384.695027,1155.632116,1114.793184,1197.584639
